G,Date,,Opp,W/L,Tm,Opp,TFG,TFGA,TFG%,T3P,T3PA,T3P%,TFT,TFTA,TFT%,TORB,TTRB,TAST,TSTL,TBLK,TTOV,TPF,OpFG,OpFGA,OpFG%,Op3P,Op3PA,Op3P%,OpFT,OpFTA,OpFT%,OpORB,OpTRB,OpAST,OpSTL,OpBLK,OpTOV,OpPF
1,2023-11-07,,Mount St. Mary's,W,68,53,24,49,0.49,3,16,0.188,17,25,0.68,9,31,6,8,6,15,17,21,59,0.356,2,12,0.167,9,12,0.75,12,30,7,6,3,13,21
2,2023-11-10,N,Davidson,L,61,64,20,57,0.351,5,23,0.217,16,21,0.762,14,32,13,8,5,13,18,21,49,0.429,8,15,0.533,14,21,0.667,8,31,15,11,3,14,21
3,2023-11-12,N,UAB,L,63,66,22,57,0.386,6,23,0.261,13,20,0.65,10,33,10,6,3,14,17,22,54,0.407,1,9,0.111,21,23,0.913,7,31,8,10,9,13,17
4,2023-11-17,@,Villanova,L,40,57,12,50,0.24,5,26,0.192,11,16,0.688,7,19,9,11,4,10,17,18,40,0.45,7,18,0.389,14,19,0.737,5,31,7,6,1,17,18
5,2023-11-21,,UMBC,W,92,68,31,68,0.456,6,21,0.286,24,37,0.649,14,41,9,12,4,13,17,27,68,0.397,5,17,0.294,9,14,0.643,12,39,14,1,3,23,23
6,2023-11-25,,South Alabama,W,68,55,24,57,0.421,5,31,0.161,15,20,0.75,14,38,13,6,4,14,14,20,51,0.392,5,17,0.294,10,10,1,3,22,6,8,2,11,18
7,2023-11-28,,Rider,W,103,76,33,57,0.579,8,20,0.4,29,45,0.644,9,31,17,11,7,6,21,28,61,0.459,2,9,0.222,18,24,0.75,13,35,10,2,2,15,29
8,2023-12-01,@,Indiana,L,53,65,20,56,0.357,2,16,0.125,11,17,0.647,10,29,8,9,7,12,21,26,57,0.456,3,9,0.333,10,18,0.556,13,42,17,7,4,13,17
9,2023-12-06,,Penn State,W (1 OT),81,75,23,67,0.343,5,25,0.2,30,39,0.769,19,48,9,7,3,15,22,24,62,0.387,8,25,0.32,19,21,0.905,8,30,12,9,5,10,30
10,2023-12-12,,Alcorn State,W,105,65,30,57,0.526,14,30,0.467,31,40,0.775,11,33,20,9,5,8,14,26,59,0.441,5,9,0.556,8,16,0.5,10,26,9,6,2,17,24
11,2023-12-19,,Nicholls State,W,73,67,22,62,0.355,10,27,0.37,19,29,0.655,13,42,12,4,13,5,15,23,59,0.39,12,22,0.545,9,17,0.529,8,36,12,4,6,7,23
12,2023-12-22,@,UCLA,W,69,60,20,48,0.417,8,22,0.364,21,30,0.7,7,30,6,5,2,9,29,17,54,0.315,1,14,0.071,25,34,0.735,16,32,6,3,1,9,25
13,2023-12-28,,Coppin State,W,75,53,28,59,0.475,6,22,0.273,13,21,0.619,15,39,14,8,6,11,12,20,55,0.364,5,12,0.417,8,9,0.889,7,27,5,5,1,14,17
14,2024-01-02,,Purdue,L,53,67,21,63,0.333,5,22,0.227,6,11,0.545,13,30,5,6,3,8,12,25,54,0.463,9,20,0.45,8,10,0.8,9,36,16,1,2,11,7
15,2024-01-07,@,Minnesota,L,62,65,19,50,0.38,4,12,0.333,20,24,0.833,9,32,10,6,6,17,20,24,59,0.407,6,23,0.261,11,18,0.611,9,27,18,11,6,10,19
16,2024-01-11,,Michigan,W,64,57,20,49,0.408,7,21,0.333,17,23,0.739,7,34,11,6,5,10,14,21,53,0.396,5,15,0.333,10,15,0.667,4,28,10,4,2,11,18
17,2024-01-14,@,Illinois,W,76,67,30,65,0.462,4,17,0.235,12,17,0.706,10,37,14,4,6,7,15,21,64,0.328,6,22,0.273,19,24,0.792,10,35,8,5,3,8,14
18,2024-01-17,@,Northwestern,L,69,72,25,48,0.521,6,17,0.353,13,18,0.722,5,26,12,3,5,13,21,24,55,0.436,6,21,0.286,18,22,0.818,10,29,15,10,3,5,18
19,2024-01-21,,Michigan State,L,59,61,21,50,0.42,8,22,0.364,9,11,0.818,9,32,8,4,6,17,16,21,50,0.42,7,16,0.438,12,16,0.75,2,20,9,10,4,7,14
20,2024-01-24,@,Iowa,W,69,67,24,51,0.471,7,15,0.467,14,20,0.7,8,27,10,6,8,13,19,24,57,0.421,3,14,0.214,16,18,0.889,10,30,11,5,3,13,18
21,2024-01-27,,Nebraska,W,73,51,26,64,0.406,11,26,0.423,10,14,0.714,15,40,16,11,5,8,13,17,43,0.395,10,21,0.476,7,12,0.583,2,23,10,5,3,17,14
22,2024-02-03,@,Michigan State,L,54,63,17,55,0.309,7,30,0.233,13,13,1,10,25,8,5,5,13,15,24,54,0.444,4,14,0.286,11,16,0.688,11,33,14,7,5,10,14
23,2024-02-06,,Rutgers,L,53,56,17,54,0.315,2,18,0.111,17,23,0.739,12,35,6,6,2,15,14,22,56,0.393,3,13,0.231,9,11,0.818,9,33,7,8,6,13,19
24,2024-02-10,@,Ohio State,L (2 OT),75,79,24,62,0.387,7,17,0.412,20,30,0.667,11,40,11,3,1,12,20,29,66,0.439,4,17,0.235,17,20,0.85,5,36,9,6,5,9,25
25,2024-02-14,,Iowa,W,78,66,25,52,0.481,4,17,0.235,24,29,0.828,9,31,11,7,2,11,11,26,64,0.406,6,22,0.273,8,12,0.667,10,27,11,4,5,9,23
26,2024-02-17,,Illinois,L,80,85,26,63,0.413,4,18,0.222,24,29,0.828,11,35,9,3,4,6,25,24,50,0.48,5,20,0.25,32,36,0.889,4,30,9,2,4,7,22
27,2024-02-20,@,Wisconsin,L,70,74,24,52,0.462,5,15,0.333,17,23,0.739,4,22,9,5,2,9,25,21,47,0.447,4,17,0.235,28,31,0.903,8,33,6,3,3,12,19
28,2024-02-25,@,Rutgers,W,63,46,21,51,0.412,6,19,0.316,15,24,0.625,12,37,15,6,6,14,15,17,46,0.37,2,11,0.182,10,17,0.588,6,25,9,8,8,12,19
29,2024-02-28,,Northwestern,L,61,68,21,54,0.389,2,22,0.091,17,24,0.708,10,30,9,1,2,7,23,19,41,0.463,2,13,0.154,28,31,0.903,3,31,8,2,0,8,20
30,2024-03-03,,Indiana,L,78,83,30,62,0.484,9,24,0.375,9,10,0.9,6,24,12,8,2,10,15,31,55,0.564,7,16,0.438,14,17,0.824,6,32,14,4,4,14,10
31,2024-03-10,@,Penn State,L,69,85,22,58,0.379,7,27,0.259,18,25,0.72,6,25,11,8,2,8,19,30,62,0.484,6,20,0.3,19,22,0.864,12,43,18,6,3,10,17
32,2024-03-13,N,Rutgers,W,65,51,22,51,0.431,7,20,0.35,14,19,0.737,7,39,17,8,4,18,19,19,61,0.311,5,21,0.238,8,14,0.571,5,26,11,9,6,11,16
33,2024-03-14,N,Wisconsin,L,56,87,22,56,0.393,6,15,0.4,6,10,0.6,6,19,10,7,4,11,11,31,60,0.517,16,25,0.64,9,11,0.818,9,35,25,5,2,12,17